Month,Refiner_Sales
9/1/1987,59339.3
8/1/1987,62643.9
7/1/1987,62404.8
6/1/1987,64315.2
5/1/1987,61750
4/1/1987,61733.5
3/1/1987,61627.2
2/1/1987,60641.1
1/1/1987,56488.6
12/1/1986,62290.2
11/1/1986,61880.4
10/1/1986,60946.1
9/1/1986,60341.9
8/1/1986,61342.4
7/1/1986,62861.8
6/1/1986,63294.1
5/1/1986,65578.7
4/1/1986,62628.9
3/1/1986,61250.4
2/1/1986,58546.4
1/1/1986,55283
12/1/1985,60295.9
11/1/1985,58100.7
10/1/1985,56949
9/1/1985,56979
8/1/1985,58096.1
7/1/1985,58563.3
6/1/1985,58832.1
5/1/1985,57563.7
4/1/1985,59075.2
3/1/1985,57297.6
2/1/1985,53829.7
1/1/1985,54584.3
12/1/1984,56765.8
11/1/1984,58075.3
10/1/1984,57386.5
9/1/1984,56947.3
8/1/1984,59378.3
7/1/1984,59055.7
6/1/1984,60075
5/1/1984,58755.9
4/1/1984,56937
3/1/1984,57636
2/1/1984,55651.7
1/1/1984,54148.6
12/1/1983,51879.1
11/1/1983,51150.8
10/1/1983,50724.3
9/1/1983,52676.3
8/1/1983,51905.6
7/1/1983,51898
6/1/1983,52517.2
5/1/1983,52021.3
4/1/1983,49093.7
3/1/1983,54111.7
2/1/1983,48906.1
1/1/1983,46218.3
