Month,Mbbls_per_day
01/03/1978,270324
01/02/1978,234544
01/01/1978,259150
01/12/1977,263097
01/11/1977,257378
01/10/1977,265776
01/09/1977,254392
01/08/1977,257510
01/07/1977,251244
01/06/1977,243058
01/05/1977,250317
01/04/1977,244347
01/03/1977,250778
01/02/1977,227890
01/01/1977,243478
01/12/1976,249879
01/11/1976,242388
01/10/1976,249962
01/09/1976,244489
01/08/1976,251429
01/07/1976,251942
01/06/1976,242833
01/05/1976,251860
01/04/1976,242310
01/03/1976,255198
01/02/1976,238705
01/01/1976,255185
01/12/1975,255860
01/11/1975,248336
01/10/1975,258057
01/09/1975,248389
01/08/1975,255712
01/07/1975,258408
01/06/1975,252624
01/05/1975,259742
01/04/1975,253698
01/03/1975,263297
01/02/1975,240552
01/01/1975,262104
01/12/1974,264322
01/11/1974,257064
01/10/1974,266949
01/09/1974,253288
01/08/1974,269665
01/07/1974,272184
01/06/1974,263407
01/05/1974,276228
01/04/1974,268619
01/03/1974,277927
01/02/1974,255982
01/01/1974,276950
01/12/1973,280960
01/11/1973,274829
01/10/1973,285940
01/09/1973,271959
01/08/1973,284225
01/07/1973,285731
01/06/1973,276418
01/05/1973,287134
01/04/1973,278757
01/03/1973,287430
01/02/1973,263066
01/01/1973,284454
01/12/1972,289385
01/11/1972,282780
01/10/1972,293930
01/09/1972,285240
01/08/1972,293973
01/07/1972,294376
01/06/1972,285660
01/05/1972,298034
01/04/1972,285390
01/03/1972,293322
01/02/1972,270744
01/01/1972,282534
01/12/1971,282100
01/11/1971,274170
01/10/1971,284022
01/09/1971,274050
01/08/1971,291741
01/07/1971,293121
01/06/1971,288120
01/05/1971,298995
01/04/1971,293070
01/03/1971,302808
01/02/1971,272412
01/01/1971,299305
01/12/1970,308264
01/11/1970,301320
01/10/1970,310403
01/09/1970,295590
01/08/1970,296360
01/07/1970,285274
01/06/1970,280770
01/05/1970,295213
01/04/1970,287730
01/03/1970,294748
01/02/1970,267960
01/01/1970,293818
01/12/1969,295368
01/11/1969,280380
01/10/1969,285603
01/09/1969,278850
01/08/1969,281077
01/07/1969,288145
01/06/1969,288935
01/05/1969,290036
01/04/1969,277140
01/03/1969,280705
01/02/1969,249984
01/01/1969,275528
01/12/1968,276086
01/11/1968,269070
01/10/1968,276396
01/09/1968,267960
01/08/1968,283154
01/07/1968,283836
01/06/1968,274320
01/05/1968,285355
01/04/1968,273690
01/03/1968,288882
01/02/1968,270425
01/01/1968,279868
01/12/1967,276135
01/11/1967,269348
01/10/1967,278997
01/09/1967,272845
01/08/1967,292495
01/07/1967,283776
01/06/1967,256174
01/05/1967,259923
01/04/1967,254252
01/03/1967,264854
01/02/1967,241366
01/01/1967,265577
01/12/1966,263843
01/11/1966,252825
01/10/1966,258008
01/09/1966,247632
01/08/1966,255812
01/07/1966,255121
01/06/1966,250391
01/05/1966,258677
01/04/1966,248155
01/03/1966,257107
01/02/1966,230733
01/01/1966,249459
01/12/1965,253584
01/11/1965,239635
01/10/1965,244122
01/09/1965,222529
01/08/1965,240180
01/07/1965,237606
01/06/1965,232440
01/05/1965,238253
01/04/1965,236844
01/03/1965,243763
01/02/1965,218612
01/01/1965,240946
01/12/1964,240863
01/11/1964,229029
01/10/1964,236304
01/09/1964,225965
01/08/1964,230926
01/07/1964,231648
01/06/1964,226808
01/05/1964,234742
01/04/1964,232185
01/03/1964,239068
01/02/1964,222947
01/01/1964,236337
01/12/1963,232843
01/11/1963,226321
01/10/1963,233610
01/09/1963,225207
01/08/1963,236830
01/07/1963,235144
01/06/1963,226853
01/05/1963,234499
01/04/1963,228270
01/03/1963,234289
01/02/1963,212437
01/01/1963,226420
01/12/1962,228824
01/11/1962,223231
01/10/1962,228380
01/09/1962,219589
01/08/1962,224240
01/07/1962,224018
01/06/1962,217712
01/05/1962,222969
01/04/1962,221737
01/03/1962,228661
01/02/1962,209072
01/01/1962,227756
01/12/1961,226635
01/11/1961,214566
01/10/1961,220942
01/09/1961,209848
01/08/1961,220218
01/07/1961,215699
01/06/1961,213084
01/05/1961,221553
01/04/1961,219846
01/03/1961,231596
01/02/1961,204274
01/01/1961,223497
01/12/1960,221653
01/11/1960,213992
01/10/1960,215687
01/09/1960,209119
01/08/1960,215145
01/07/1960,212645
01/06/1960,208161
01/05/1960,212296
01/04/1960,211132
01/03/1960,220977
01/02/1960,209986
01/01/1960,224140
01/12/1959,222969
01/11/1959,209449
01/10/1959,214248
01/09/1959,205700
01/08/1959,209733
01/07/1959,210311
01/06/1959,212489
01/05/1959,223806
01/04/1959,217685
01/03/1959,222839
01/02/1959,201435
01/01/1959,223926
01/12/1958,221277
01/11/1958,209252
01/10/1958,215887
01/09/1958,212642
01/08/1958,215030
01/07/1958,203701
01/06/1958,190172
01/05/1958,193205
01/04/1958,189014
01/03/1958,194580
01/02/1958,190947
01/01/1958,213280
01/12/1957,214641
01/11/1957,205249
01/10/1957,212055
01/09/1957,206777
01/08/1957,210150
01/07/1957,212781
01/06/1957,213302
01/05/1957,230466
01/04/1957,226392
01/03/1957,238490
01/02/1957,214967
01/01/1957,231631
01/12/1956,228673
01/11/1956,214438
01/10/1956,215570
01/09/1956,211585
01/08/1956,223035
01/07/1956,219770
01/06/1956,213010
01/05/1956,218942
01/04/1956,214412
01/03/1956,225645
01/02/1956,209078
01/01/1956,223125
01/12/1955,221863
01/11/1955,210454
01/10/1955,211866
01/09/1955,202037
01/08/1955,206619
01/07/1955,205614
01/06/1955,197844
01/05/1955,207067
01/04/1955,206668
01/03/1955,213453
01/02/1955,191342
01/01/1955,209601
01/12/1954,198134
01/11/1954,190372
01/10/1954,189724
01/09/1954,184325
01/08/1954,190388
01/07/1954,194098
01/06/1954,194974
01/05/1954,200627
01/04/1954,198502
01/03/1954,201763
01/02/1954,178644
01/01/1954,193437
01/12/1953,193350
01/11/1953,188116
01/10/1953,193726
01/09/1953,196571
01/08/1953,204490
01/07/1953,204711
01/06/1953,197630
01/05/1953,198117
01/04/1953,191953
01/03/1953,202024
01/02/1953,183183
01/01/1953,203211
01/12/1952,205904
01/11/1952,193832
01/10/1952,201581
01/09/1952,195603
01/08/1952,192768
01/07/1952,188985
01/06/1952,185692
01/05/1952,157748
01/04/1952,192936
01/03/1952,197121
01/02/1952,184818
01/01/1952,192848
01/12/1951,191971
01/11/1951,188499
01/10/1951,198163
01/09/1951,188016
01/08/1951,193537
01/07/1951,190626
01/06/1951,184064
01/05/1951,191601
01/04/1951,183860
01/03/1951,187774
01/02/1951,166163
01/01/1951,183437
01/12/1950,177460
01/11/1950,176782
01/10/1950,183011
01/09/1950,176698
01/08/1950,176192
01/07/1950,170058
01/06/1950,161305
