,api,reported_fluid_type,lease_name,well_num,6mo_oil_x,6mo_time,1_mo_oil,1_mo_gas,2_mo_oil,2_mo_gas,cum_oil_x,cum_gas,formation,top_d,btm_d,operator,basin,td,tvd,elevation,spud_date,surf_lat,surf_long,btm_lat,btm_long,total_prop,total_fluid_pumped,stages_2,initial_GOR,calculated_LL,offset_dist,parent_6_mo,parent_cum_oil
23,42255340790000,O,ALLEN UNIT A,5,145646,6,25948,41304,29790,47633,242664,418467,EAGLE FORD,13033,17482,BURLINGTON RESOURCES O&G CO LP,KARNES FAULT ZONE (GULF COAST BASIN),17482,12391,331.0,6/21/2016,28.970969399999994,-97.76348420000001,28.977892100000002,-97.77647440000001,8920000,163778,1.0,1591.798983,4854.790149,483.9377507211269,125844,360564
24,42297351700000,G,BETTY KENNEDY UNIT A,2,56283,6,3114,15429,8221,42358,147856,1020821,EAGLE FORD,12862,17158,BURLINGTON RESOURCES O&G CO LP,KARNES FAULT ZONE (GULF COAST BASIN),17370,12309,362.0,10/1/2012,28.6591131,-98.08834990000001,28.671816999999997,-98.09615600000001,5428000,66189,1.0,4954.720617,5265.555507,663.7867063734483,49597,147945
25,42297351710000,G,BETTY KENNEDY UNIT A,3,59685,6,3746,19715,10431,59226,152025,1164252,EAGLE FORD,12914,17468,BURLINGTON RESOURCES O&G CO LP,KARNES FAULT ZONE (GULF COAST BASIN),17680,12334,384.0,10/25/2012,28.6591071,-98.08747690000001,28.6717685,-98.0921553,5428000,67398,1.0,5262.947144,4856.038504,618.102239381657,49597,147945
26,42297351730000,G,BETTY KENNEDY UNIT A,4,65565,6,3801,18445,9417,46933,162006,1175413,EAGLE FORD,12650,17257,BURLINGTON RESOURCES O&G CO LP,KARNES FAULT ZONE (GULF COAST BASIN),17459,12321,384.0,12/8/2012,28.6591703,-98.08747629999999,28.6717178,-98.09408540000001,5432000,73070,1.0,4852.67035,5043.032163,618.102239381657,49597,147945
27,42123334040000,O,BRASWELL UNIT B,2,148939,6,8594,7895,21651,23798,535134,948705,EAGLE FORD,12875,18331,BURLINGTON RESOURCES O&G CO LP,KARNES FAULT ZONE (GULF COAST BASIN),18577,12016,381.0,9/9/2014,29.160055600000003,-97.515725,29.1717331,-97.5298783,8074000,102687,1.0,918.6641843,6203.324029,317.2475598551449,104096,539396
28,42123334050000,O,BRASWELL UNIT B,3,92737,6,4596,2978,11539,8943,487180,664429,EAGLE FORD,12869,18395,BURLINGTON RESOURCES O&G CO LP,KARNES FAULT ZONE (GULF COAST BASIN),18550,11970,380.0,9/6/2014,29.1600222,-97.515675,29.171044000000002,-97.53048570000001,7830000,160042,1.0,647.9547432999999,6199.4171240000005,313.46160217059094,104096,539396
29,42123334060000,O,BRASWELL UNIT B,4,106249,6,5597,4021,14083,12114,483900,940672,EAGLE FORD,12825,18329,BURLINGTON RESOURCES O&G CO LP,KARNES FAULT ZONE (GULF COAST BASIN),18479,12035,381.0,9/3/2014,29.159989000000003,-97.515625,29.170317600000004,-97.53101120000001,8114000,152541,1.0,718.4205825,6182.77976,313.46160217059094,104096,539396
30,42297355840000,G,BURGESS UNIT A,2,95303,6,2682,8341,18032,64953,280790,1421244,EAGLE FORD,12261,18442,BURLINGTON RESOURCES O&G CO LP,KARNES FAULT ZONE (GULF COAST BASIN),18593,11697,387.0,8/14/2014,28.724163899999997,-98.0500833,28.739461199999997,-98.0653872,9226000,114400,1.0,3109.992543,7424.151252,256.3421586707625,66598,218052
31,42297355850000,G,BURGESS UNIT A,3,88692,6,5631,19021,26572,116306,225265,1278647,EAGLE FORD,12381,18545,BURLINGTON RESOURCES O&G CO LP,KARNES FAULT ZONE (GULF COAST BASIN),18695,11751,387.0,8/14/2014,28.7241583,-98.0500223,28.739501399999998,-98.0639919,8632000,97407,1.0,3377.908009,7162.903445,253.0683956527534,66598,218052
32,42297355860000,G,BURGESS UNIT A,4,95261,6,3188,10142,19917,68755,301845,1699682,EAGLE FORD,12172,18308,BURLINGTON RESOURCES O&G CO LP,KARNES FAULT ZONE (GULF COAST BASIN),18461,11710,387.0,8/22/2014,28.72415,-98.04996109999999,28.7394332,-98.06263670000001,8992000,207247,1.0,3181.304893,6894.506518000001,434.23255463493706,66598,218052
33,42255351870000,O,BUSSELMAN UNIT A,2,112052,6,20422,16645,25856,24516,300293,370277,EAGLE FORD,11788,16974,BURLINGTON RESOURCES O&G CO LP,KARNES FAULT ZONE (GULF COAST BASIN),17141,11390,328.0,2/6/2017,28.914994399999998,-97.9198306,28.9300887,-97.9263167,16798000,278427,1.0,815.0523945,5883.555746999999,257.7414482461969,129712,293164
34,42255351880000,O,BUSSELMAN UNIT A,3,86733,6,24575,21725,18322,19444,202837,336027,EAGLE FORD,11911,17129,BURLINGTON RESOURCES O&G CO LP,KARNES FAULT ZONE (GULF COAST BASIN),17294,11467,328.0,2/5/2017,28.914963899999996,-97.9197728,28.930185499999997,-97.92545720000001,16746000,296424,1.0,884.0284842,5842.512608,257.5339729935934,129712,293164
35,42255351890000,O,BUSSELMAN UNIT A,4,146756,6,24482,19806,28057,24752,335915,452493,EAGLE FORD,11759,17086,BURLINGTON RESOURCES O&G CO LP,KARNES FAULT ZONE (GULF COAST BASIN),17254,11415,327.9,2/4/2017,28.914938899999996,-97.9197167,28.930342,-97.92463790000001,17302000,306320,1.0,809.0025325,5835.187668,237.4930578422538,129712,293164
36,42297354520000,O,COLVIN UNIT A,2,103003,6,831,2057,18484,52136,293936,753074,EAGLE FORD,12704,18504,BURLINGTON RESOURCES O&G CO LP,KARNES FAULT ZONE (GULF COAST BASIN),18701,11892,341.0,12/9/2013,28.6706296,-98.1077671,28.685928999999998,-98.12096159999999,8704000,131952,1.0,2475.330927,6999.450027,343.9350333644658,92915,237570
37,42297355980000,G,COLVIN UNIT A,3,117018,6,2327,7991,18333,73268,333396,1809793,EAGLE FORD,12192,18636,BURLINGTON RESOURCES O&G CO LP,KARNES FAULT ZONE (GULF COAST BASIN),18789,11974,349.0,3/18/2015,28.670294399999996,-98.10705279999999,28.6860637,-98.1163295,12592000,214009,1.0,3434.0352390000003,6474.253609,411.91550460081345,92915,237570
38,42297355990000,O,COLVIN UNIT A,4,120436,6,1369,4721,17454,48872,306790,1272574,EAGLE FORD,12347,18634,BURLINGTON RESOURCES O&G CO LP,KARNES FAULT ZONE (GULF COAST BASIN),18789,11885,349.0,3/15/2015,28.670294399999996,-98.10711500000001,28.686236199999996,-98.11760140000001,12408000,212457,1.0,3448.5025570000003,6715.161851999999,392.2653605218528,92915,237570
39,42297356030000,O,COLVIN UNIT A,5,78571,6,3236,7872,14036,37783,212089,1030900,EAGLE FORD,12280,18042,BURLINGTON RESOURCES O&G CO LP,KARNES FAULT ZONE (GULF COAST BASIN),18231,11841,333.0,4/16/2015,28.670094399999996,-98.11040279999999,28.686286,-98.1188257,11766000,200017,1.0,2432.63288,6493.400142,30.862203106059173,92915,237570
40,42297356040000,G,COLVIN UNIT A,6,16639,6,1168,4543,9721,41739,40903,357819,EAGLE FORD,12373,18657,BURLINGTON RESOURCES O&G CO LP,KARNES FAULT ZONE (GULF COAST BASIN),18805,11963,333.0,4/19/2015,28.670094399999996,-98.1104667,28.686201500000003,-98.1188302,12668000,254814,1.0,3889.5547950000005,6457.462402,30.862203106059173,92915,237570
41,42297356070100,O,COLVIN UNIT A,7,99917,6,1463,3532,13287,32471,320816,1235458,EAGLE FORD,12289,18432,BURLINGTON RESOURCES O&G CO LP,KARNES FAULT ZONE (GULF COAST BASIN),18590,11892,334.0,5/17/2015,28.6699827,-98.11058840000001,28.6857659,-98.1199032,12528000,245970,1.0,2414.2173620000003,6484.36263,343.9350333644658,92915,237570
42,42123338060000,O,D BAKER UNIT B,2,148927,6,17661,43591,30387,82498,392955,1307901,EAGLE FORD,13082,17247,BURLINGTON RESOURCES O&G CO LP,KARNES FAULT ZONE (GULF COAST BASIN),17400,12987,356.4,8/17/2015,29.097586100000004,-97.55014720000001,29.090362100000004,-97.5340304,8432000,145156,1.0,2468.2067829999996,5774.590886999999,195.1999555628787,95407,503235
43,42123338050000,O,D BAKER UNIT B,3,112828,6,13385,31725,21395,55625,297797,1012202,EAGLE FORD,13137,17193,BURLINGTON RESOURCES O&G CO LP,KARNES FAULT ZONE (GULF COAST BASIN),17427,13054,356.4,8/24/2015,29.097636100000003,-97.5501189,29.0908814,-97.53388299999999,8326000,151618,1.0,2370.190512,5732.728486999999,195.1999555628787,95407,503235
44,42123338070000,O,D BAKER UNIT B,4,105656,6,8397,19431,19070,48682,335307,1037773,EAGLE FORD,13020,17483,BURLINGTON RESOURCES O&G CO LP,KARNES FAULT ZONE (GULF COAST BASIN),17636,12975,356.1,8/20/2015,29.097686100000004,-97.5500925,29.0913113,-97.5332015,8846000,150243,1.0,2314.040729,5865.639658,214.86257223555037,95407,503235
45,42123338080000,O,D BAKER UNIT B,5,116917,6,9327,22899,24682,67848,327216,1014312,EAGLE FORD,13151,17744,BURLINGTON RESOURCES O&G CO LP,KARNES FAULT ZONE (GULF COAST BASIN),17897,13081,355.8,8/18/2015,29.097736100000002,-97.5500667,29.091875800000004,-97.5330094,8810000,154545,1.0,2455.130267,5843.068107,214.86257223555037,95407,503235
46,42123331260000,O,G KLEIN UNIT A,2,94967,6,15046,16504,14138,17445,321970,496386,EAGLE FORD,12846,17646,BURLINGTON RESOURCES O&G CO LP,KARNES FAULT ZONE (GULF COAST BASIN),17852,12225,495.5,7/16/2013,29.038411100000005,-97.6835417,29.0476011,-97.695539,7296000,93696,1.0,1096.902831,5087.7064789999995,667.0778238081701,82306,199395
47,42123331270000,O,G KLEIN UNIT A,4,117893,6,40096,51344,23944,31947,301731,509743,EAGLE FORD,12923,17700,BURLINGTON RESOURCES O&G CO LP,KARNES FAULT ZONE (GULF COAST BASIN),17909,12273,495.5,7/20/2013,29.0383583,-97.6835333,29.0460706,-97.6966833,7266000,87677,1.0,1280.526736,5050.698425,671.1039853015571,82306,199395
48,42123331280000,O,G KLEIN UNIT A,6,109077,6,22903,26117,22813,27383,279070,410078,EAGLE FORD,13033,17716,BURLINGTON RESOURCES O&G CO LP,KARNES FAULT ZONE (GULF COAST BASIN),17883,12285,494.7,7/23/2013,29.0383027,-97.68352229999999,29.04447,-97.6977202,6764000,91687,1.0,1140.330961,5056.791502,585.3032262698405,82306,199395
50,42123331290000,O,G KLEIN UNIT A,8,101089,6,25033,29112,23948,28730,304159,467617,EAGLE FORD,12993,17769,BURLINGTON RESOURCES O&G CO LP,KARNES FAULT ZONE (GULF COAST BASIN),17930,12259,494.4,7/26/2013,29.03825,-97.68351109999999,29.043098800000003,-97.6986728,7252000,94595,1.0,1162.944913,5149.4675640000005,585.3032262698405,82306,199395
51,42255334860000,O,GENELLE UNIT C,2,67647,6,3581,3814,17513,23067,169519,266711,EAGLE FORD,12426,16401,BURLINGTON RESOURCES O&G CO LP,KARNES FAULT ZONE (GULF COAST BASIN),16640,12506,291.0,5/15/2014,28.946355600000004,-97.8302472,28.9396065,-97.8195585,6050000,84022,1.0,1065.065624,4208.150488,455.0986122640979,108162,320135
